,station_code,name,country,installation height (m),latitude,longitude,elevation (m),timezone,savanna,GMT+,Start recording,End recording,Percentage of recorded period recorded,Percentage of study period recorded,Start recording (GMT),End recording (GMT)
0,TA00072,Likoni School for the Blind,KE,3.0,-4.0789825,39.6568773,14.0,Africa/Nairobi,no,3.0,,,99.13347522043175,33.053704032237626,2021-06-30 21:00:00,2022-12-31 00:00:00
1,TA00082,R̩seau MARP,BF,10.0,12.2358,1.2816,320.0,Africa/Abidjan,yes,0.0,,,0,0,,
2,TA00085,N'Djamena Airport,TD,2.0,12.1385,15.0455833,290.2,Africa/Ndjamena,yes,1.0,,,0,0,,
3,TA00088,Kin Kin Village,TD,2.0,11.568833,15.209333,314.2,Africa/Ndjamena,yes,1.0,,,100.0,3.1908153179410497,2018-07-01 00:00:00,2018-08-22 10:00:00
4,TA00096,Siramana,ML,2.0,11.5930132,-5.7144108,350.2,Africa/Abidjan,yes,0.0,,,93.5490293678447,23.815799477912662,2019-02-07 11:00:00,2020-03-31 23:00:00
5,TA00102,Unimaid WS2,NG,2.0,11.81004,13.20978,324.1,Africa/Lagos,yes,1.0,,,100.0,30.022556200420713,2020-01-24 10:00:00,2021-05-31 23:00:00
6,TA00103,AIM UKZN,ZA,2.0,-29.6277778,30.402861,673.0,Africa/Johannesburg,no,2.0,,,100.0,75.00316800567707,2019-06-25 22:00:00,2022-11-09 23:00:00
7,TA00136,"Notre Dame Seminary/SHS, Navrongo",GH,2.0,10.883374,-1.071105,187.0,Africa/Accra,yes,0.0,,,79.90470638923385,79.90470638923385,2018-07-01 00:00:00,2022-12-31 00:00:00
8,TA00148,CEG 1 Tanguieta,BJ,2.0,10.627189,1.270305,238.0,Africa/Lagos,yes,1.0,,,73.07448614947918,73.07448614947918,2018-07-01 00:00:00,2022-12-31 00:00:00
9,TA00149,SOS Village Natitingou,BJ,2.0,10.258933,1.379808,387.0,Africa/Lagos,yes,1.0,,,52.884571944883675,29.6677395645893,2019-03-02 18:00:00,2021-09-10 00:00:00
10,TA00161,Boromo,BF,2.0,11.74447183,-2.929343615,271.7,Africa/Abidjan,yes,0.0,,,98.60354309754923,98.60354309754923,2018-07-01 00:00:00,2022-12-31 00:00:00
11,TA00162,Farakobo,BF,2.0,11.094267,-4.332041,419.0,Africa/Abidjan,yes,0.0,,,36.27255057625448,33.58086017690144,2018-10-31 00:00:00,2022-12-31 00:00:00
12,TA00165,P̫,BF,2.0,11.18052,-1.146766,322.0,Africa/Abidjan,yes,0.0,,,97.89644423042806,97.89644423042806,2018-07-01 00:00:00,2022-12-31 00:00:00
13,TA00168,Fada,BF,2.0,12.045334,0.36455,314.9,Africa/Abidjan,yes,0.0,,,99.97719035912512,99.97719035912512,2018-07-01 00:00:00,2022-12-31 00:00:00
14,TA00170,Gaoua,BF,2.0,10.38555,-3.166258,289.0,Africa/Abidjan,yes,0.0,,,90.26003649635037,90.2577489418861,2018-07-01 00:00:00,2022-12-30 23:00:00
15,TA00249,"St. Peter's R/C JHS/ St. John's R/C JHS, Tuna",GH,2.0,9.49417378,-2.424785828,304.4,Africa/Accra,yes,0.0,,,79.91838596846961,79.91230960285881,2018-07-01 00:00:00,2022-12-30 21:00:00
16,TA00251,"Daffiama SHS, Daffiama",GH,2.0,10.424955,-2.55448,322.8,Africa/Accra,yes,0.0,,,99.81752287300098,99.81752287300098,2018-07-01 00:00:00,2022-12-31 00:00:00
17,TA00253,"Han SHS, Han",GH,2.0,10.67039163,-2.46478432,308.4,Africa/Accra,yes,0.0,,,77.89492358770306,77.89492358770306,2018-07-01 00:00:00,2022-12-31 00:00:00
18,TA00254,"Bongo SHS, Bongo",GH,2.0,10.91321139,-0.810161018,212.8,Africa/Accra,yes,0.0,,,69.92092457420924,69.91915249512127,2018-07-01 00:00:00,2022-12-30 23:00:00
19,TA00259,"Kpandai SHS, Kpandai",GH,2.0,8.476085137,-0.028542388,196.3,Africa/Accra,yes,0.0,,,74.1697944593387,52.58635983475683,2018-12-18 10:00:00,2022-02-26 00:00:00
20,TA00260,"Bimbilla SHS, Bimbilla",GH,2.0,8.862776543,0.052038648,224.6,Africa/Accra,yes,0.0,,,89.50517773709664,83.02202397546696,2018-10-28 02:00:00,2022-12-31 00:00:00
21,TA00264,"Gbewaa College of Education, Pusiga",GH,2.0,11.06886,-0.11478,251.7,Africa/Accra,yes,0.0,,,73.30027777056671,71.56144663811239,2018-07-01 00:00:00,2022-11-22 00:00:00
22,TA00291,EPP Birni,BJ,2.0,9.993997,1.526162,422.0,Africa/Lagos,yes,1.0,,,54.853053273481834,32.82814202803051,2018-07-01 00:00:00,2021-03-10 21:00:00
23,TA00292,EPP Banikoara Groupe B,BJ,2.0,11.29562,2.432351,314.0,Africa/Lagos,yes,1.0,,,36.54917968443363,11.800187545936081,2019-03-01 16:00:00,2020-08-13 10:00:00
24,TA00293,EPP Centre Karimama,BJ,2.0,12.074974,3.179812,174.0,Africa/Lagos,yes,1.0,,,0,0,,
25,TA00295,CEG 1 Perere,BJ,2.0,9.8064833,2.9913576,403.0,Africa/Lagos,yes,1.0,,,100.0,25.26294447119649,2019-03-01 07:00:00,2020-04-19 14:00:00
26,TA00296,EPP Nikki D,BJ,2.0,9.930623,3.2076898,393.9,Africa/Lagos,yes,1.0,,,0,0,,
27,TA00310,University of Cape Coast,GH,2.0,5.116553,-1.289021,15.0,Africa/Accra,no,0.0,,,84.88481131358188,84.88481131358188,2018-07-01 00:00:00,2022-12-31 00:00:00
28,TA00315,Ecole Nationale Sup̩rieure d'Agriculture (ENSA),SN,2.0,14.764167,-16.890556,64.7,Africa/Abidjan,no,0.0,,,87.17884271671134,79.11650657677978,2018-07-01 00:00:00,2022-07-31 23:00:00
29,TA00328,Madina Diassa,ML,2.0,10.822359,-7.7394,367.0,Africa/Abidjan,yes,0.0,,,51.1442836505563,51.1442836505563,2018-07-01 00:00:00,2022-12-31 00:00:00
30,TA00333,Dogo,ML,2.0,11.891441,-7.337038,381.0,Africa/Abidjan,yes,0.0,,,91.91176470588235,88.38735839014623,2018-07-01 00:00:00,2022-10-28 23:00:00
31,TA00335,Kignan,ML,2.0,11.85276,-6.018243,353.0,Africa/Abidjan,yes,0.0,,,89.1274045163089,89.1274045163089,2018-07-01 00:00:00,2022-12-31 00:00:00
32,TA00336,Lyc̩e Dedier De Montclos Sikasso,ML,2.0,11.324207,-5.676385,396.0,Africa/Abidjan,yes,0.0,,,85.71763602251407,55.579491598448946,2018-07-01 00:00:00,2021-05-31 23:00:00
33,TA00337,Manankoro,ML,2.0,10.461182,-7.449116,368.0,Africa/Abidjan,yes,0.0,,,0,0,,
34,TA00338,Kalana,ML,2.0,10.78883,-8.195493,391.0,Africa/Abidjan,yes,0.0,,,0,0,,
35,TA00339,CEG Koudjoar̩,TG,2.0,10.937993,0.638356,203.5,Africa/Abidjan,yes,0.0,,,73.18517294558274,67.35180069442684,2018-07-01 00:00:00,2022-08-21 23:00:00
36,TA00340,CEG Tami,TG,2.0,10.85901,0.042402,261.0,Africa/Abidjan,yes,0.0,,,66.57103889385317,35.874496287097344,2019-02-21 18:00:00,2021-07-26 16:00:00
